id	name	mime	desc	url	viewers	editors	created	updated	isExist	fill	type	label	date	price	payby	note
19BQJ1r14XeiP1IaPSoGk0_aLq8wXttXG	note202401.pdf	application/pdf		https://drive.google.com/file/d/19BQJ1r14XeiP1IaPSoGk0_aLq8wXttXG/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T17:03:00.786+09:00	2025-01-27T16:54:17.000+09:00	o	x	確証貼付ノート	p.01				
1M83T8RtTzJ0pyYsGGbd8wy0R6EdjUYXr	note202408.pdf	application/pdf		https://drive.google.com/file/d/1M83T8RtTzJ0pyYsGGbd8wy0R6EdjUYXr/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T16:53:48.620+09:00	2025-01-27T16:51:42.000+09:00	o	x	確証貼付ノート	p.08				
1_2yg32TpU70QBdCbT8v8Sr0PX3PNUDtO	note202409.pdf	application/pdf		https://drive.google.com/file/d/1_2yg32TpU70QBdCbT8v8Sr0PX3PNUDtO/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T16:53:47.606+09:00	2025-01-27T16:51:36.000+09:00	o	x	確証貼付ノート	p.09				
1sk5K2tTHlsoTCuxRCIEEstGJRWSqYbvD	SMTLF202501.pdf	application/pdf		https://drive.google.com/file/d/1sk5K2tTHlsoTCuxRCIEEstGJRWSqYbvD/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T16:46:14.539+09:00	2025-01-27T16:41:00.000+09:00	o	x	返済明細	SMTLFローン返済明細(2025/01〜06)				
1vFdsfFrDghjn1YVo3gFHNyUGSwEVoou4	pension202501.pdf	application/pdf		https://drive.google.com/file/d/1vFdsfFrDghjn1YVo3gFHNyUGSwEVoou4/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T16:46:13.596+09:00	2025-01-27T16:40:54.000+09:00	o	x	健保・年金	<a>2025/01</a>				
1s2et1wZc2kqW1c6CtCL79ZUUYEMEPmaj	pension202412.pdf	application/pdf		https://drive.google.com/file/d/1s2et1wZc2kqW1c6CtCL79ZUUYEMEPmaj/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T16:46:14.539+09:00	2025-01-27T16:40:50.000+09:00	o	x	健保・年金	<a>2024/12</a>				
1COWbHg_AG286AfAttNgrg3ZMjrWRwx1u	pension202411.pdf	application/pdf		https://drive.google.com/file/d/1COWbHg_AG286AfAttNgrg3ZMjrWRwx1u/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T16:46:14.539+09:00	2025-01-27T16:40:46.000+09:00	o	x	健保・年金	<a>2024/11</a>				
1-_XLb5MqiGnlBSj0hhV7q_oz0T2oVPW_	pension202410.pdf	application/pdf		https://drive.google.com/file/d/1-_XLb5MqiGnlBSj0hhV7q_oz0T2oVPW_/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T16:46:14.539+09:00	2025-01-27T16:40:42.000+09:00	o	x	健保・年金	<a>2024/10</a>				
1XFImLh3oQJ5xAWTwUv0QtDn03SGUpqNS	HS202501.pdf	application/pdf		https://drive.google.com/file/d/1XFImLh3oQJ5xAWTwUv0QtDn03SGUpqNS/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T16:46:14.539+09:00	2025-01-27T16:40:32.000+09:00	o	x	羽沢	<a>2025/01</a>				
18PRA45x0i4h7EBoKpwFMQpSJUJU_poc_	HS202412.pdf	application/pdf		https://drive.google.com/file/d/18PRA45x0i4h7EBoKpwFMQpSJUJU_poc_/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T16:46:14.539+09:00	2025-01-27T16:40:28.000+09:00	o	x	羽沢	<a>2024/12</a>				
1Z0B0sjEAm3taT9XxWtWGErQKp8_EkP67	HS202411.pdf	application/pdf		https://drive.google.com/file/d/1Z0B0sjEAm3taT9XxWtWGErQKp8_EkP67/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T16:46:13.596+09:00	2025-01-27T16:40:24.000+09:00	o	x	羽沢	<a>2024/11</a>				
1DMXrens7X7ddj-uODheqXLuZ2IdKuOzg	HS202410.pdf	application/pdf		https://drive.google.com/file/d/1DMXrens7X7ddj-uODheqXLuZ2IdKuOzg/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T16:46:12.869+09:00	2025-01-27T16:40:20.000+09:00	o	x	羽沢	<a>2024/10</a>				
1YwnwWEOHIrcVxrKACi_iZaD64ifnT9ei	Amazon.co.jp - 注文番号 249-4845575-3719036.pdf	application/pdf		https://drive.google.com/file/d/1YwnwWEOHIrcVxrKACi_iZaD64ifnT9ei/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T13:14:32.229+09:00	2025-01-27T13:14:18.000+09:00	o	x	電子証憑	書籍	2024/12/09	3080	AMEX	
195AbJCoKG74szRbjbo-19CrL2YTjgk3E	Amazon.co.jp - 注文番号 249-6593585-8211811.pdf	application/pdf		https://drive.google.com/file/d/195AbJCoKG74szRbjbo-19CrL2YTjgk3E/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T13:10:21.978+09:00	2025-01-27T13:09:26.000+09:00	o	x	電子証憑	クリヤーブック	2024/12/11	2220	AMEX	
1Ca2sWeFGd7ZkWfnCw4K6NnYxYU8BYJKF	Amazon.co.jp - 注文番号 249-2194427-8251059.pdf	application/pdf		https://drive.google.com/file/d/1Ca2sWeFGd7ZkWfnCw4K6NnYxYU8BYJKF/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T13:10:28.012+09:00	2025-01-27T13:09:01.000+09:00	o	x	電子証憑	プリンタインク	2024/12/09	1180	AMEX	
1Q7x6RsI6UcQMuKRkgtA6O6xzmk359CSo	Amazon.co.jp - 注文番号 249-8191798-9007841.pdf	application/pdf		https://drive.google.com/file/d/1Q7x6RsI6UcQMuKRkgtA6O6xzmk359CSo/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T13:10:25.007+09:00	2025-01-27T13:08:34.000+09:00	o	x	電子証憑	USB充電器	2024/12/09	3919	AMEX	
1yQfuzlIZWhcP0RNOZU_qT6EeyOLEBd-N	Amazon.co.jp - 注文番号 249-4204728-6112628.pdf	application/pdf		https://drive.google.com/file/d/1yQfuzlIZWhcP0RNOZU_qT6EeyOLEBd-N/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T13:10:13.902+09:00	2025-01-27T13:08:00.000+09:00	o	x	電子証憑	スマホ消耗品、書籍	2024/12/07	3899	AMEX	
1WFRbAeaRy-9fkGkbaN4wzskEjHjC6DTr	Amazon.co.jp - 注文番号 249-3858977-2955844.pdf	application/pdf		https://drive.google.com/file/d/1WFRbAeaRy-9fkGkbaN4wzskEjHjC6DTr/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T13:10:19.176+09:00	2025-01-27T13:07:28.000+09:00	o	x	電子証憑	ボールペン替芯	2024/11/16	545	AMEX	
1wUYvRxTDWigLenGmOvb3FzOD1DAklilJ	Amazon.co.jp - 注文番号 249-2647820-1244618.pdf	application/pdf		https://drive.google.com/file/d/1wUYvRxTDWigLenGmOvb3FzOD1DAklilJ/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T13:10:16.472+09:00	2025-01-27T13:06:55.000+09:00	o	x	電子証憑	文具	2024/11/16	3524	AMEX	
1DFKN2otaoWswY7-NcnbxLyYoyUYCuMCx	202501.pdf	application/pdf		https://drive.google.com/file/d/1DFKN2otaoWswY7-NcnbxLyYoyUYCuMCx/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T12:25:32.397+09:00	2025-01-27T12:25:02.000+09:00	o	x	AMEX	<a>2025/01</a>				
1yttzxFoy0zIw9AYRnIO248VSqMt8f9pB	202412.pdf	application/pdf		https://drive.google.com/file/d/1yttzxFoy0zIw9AYRnIO248VSqMt8f9pB/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T12:25:31.241+09:00	2025-01-27T12:24:31.000+09:00	o	x	AMEX	<a>2024/12</a>				
1te4t3VlgpmamtirE6TXdRRPOF8QRaFCW	202411.pdf	application/pdf		https://drive.google.com/file/d/1te4t3VlgpmamtirE6TXdRRPOF8QRaFCW/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T12:25:31.241+09:00	2025-01-27T12:24:09.000+09:00	o	x	AMEX	<a>2024/11</a>				
1YeL8afVQWWQ4kLbZy4SGpCiQFbRGdwN0	202410.pdf	application/pdf		https://drive.google.com/file/d/1YeL8afVQWWQ4kLbZy4SGpCiQFbRGdwN0/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-27T12:25:30.381+09:00	2025-01-27T12:23:41.000+09:00	o	x	AMEX	<a>2024/10</a>				
1L918Z3YTo2lfYaBoTVjSYIodV3ha8J3t	20241231_400_003.pdf	application/pdf		https://drive.google.com/file/d/1L918Z3YTo2lfYaBoTVjSYIodV3ha8J3t/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-15T12:08:47.000+09:00	2025-01-27T11:51:55.568+09:00	o	x	YFP	2024/12 <a>記帳代行</a>				
1w7-YBX6Eg3cV489U8N4Rr_9XTKQYaKX8	20241231_400_000.pdf	application/pdf		https://drive.google.com/file/d/1w7-YBX6Eg3cV489U8N4Rr_9XTKQYaKX8/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-15T12:08:46.000+09:00	2025-01-27T11:51:47.043+09:00	o	x	YFP	2024/12 <a>顧問報酬</a>				
1GLN4kWtVPiD2AQgjUn_s3rlYN30V49bS	20241130_400_003.pdf	application/pdf		https://drive.google.com/file/d/1GLN4kWtVPiD2AQgjUn_s3rlYN30V49bS/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2024-12-16T13:07:43.000+09:00	2025-01-27T11:51:25.459+09:00	o	x	YFP	2024/11 <a>記帳代行</a>				
13YqXmS_WQXxUC0Hb1phNtbBqvQ-Pw16p	20241130_400_000.pdf	application/pdf		https://drive.google.com/file/d/13YqXmS_WQXxUC0Hb1phNtbBqvQ-Pw16p/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2024-12-16T13:07:43.000+09:00	2025-01-27T11:51:14.175+09:00	o	x	YFP	2024/11 <a>顧問報酬</a>				
1Z8-FRUHfHIzuFZPzvRAjXZOmg3gmfrnZ	20241031_400_000.pdf	application/pdf		https://drive.google.com/file/d/1Z8-FRUHfHIzuFZPzvRAjXZOmg3gmfrnZ/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2024-11-15T12:33:14.000+09:00	2025-01-27T11:50:42.861+09:00	o	x	YFP	2024/10 <a>顧問報酬</a>				
1aRcrF5P2Jf2doBWW5th5BuJu0YCzhwon	20241031_400_003.pdf	application/pdf		https://drive.google.com/file/d/1aRcrF5P2Jf2doBWW5th5BuJu0YCzhwon/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2024-11-15T12:33:15.000+09:00	2025-01-27T11:50:33.915+09:00	o	x	YFP	2024/10 <a>記帳代行</a>				
16OnYUqZY3GNAZpPkvXiymN7leB2JDVo-	20240930_400_003.pdf	application/pdf		https://drive.google.com/file/d/16OnYUqZY3GNAZpPkvXiymN7leB2JDVo-/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2024-10-15T11:55:48.000+09:00	2025-01-27T11:50:10.675+09:00	o	x	YFP	2024/09 <a>記帳代行</a>				
1hb-AJG_fU9uXoZTIEV93-FvYwWaL2ROZ	20240930_400_000.pdf	application/pdf		https://drive.google.com/file/d/1hb-AJG_fU9uXoZTIEV93-FvYwWaL2ROZ/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2024-10-15T11:55:47.000+09:00	2025-01-27T11:50:00.776+09:00	o	x	YFP	2024/09 <a>顧問報酬</a>				
1pavHX7kCuq5vo2w1SKjkHHo99ujBCQKV	EF202501.pdf	application/pdf		https://drive.google.com/file/d/1pavHX7kCuq5vo2w1SKjkHHo99ujBCQKV/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-13T16:47:01.638+09:00	2025-01-11T10:36:00.000+09:00	o	x	恵比寿	<a>2025/01</a>				
1uI1F3dE_cy2KZ-O_URWZscRFaQXqyKNQ	CK202501.pdf	application/pdf		https://drive.google.com/file/d/1uI1F3dE_cy2KZ-O_URWZscRFaQXqyKNQ/view?usp=drivesdk		takeda-erika@tkcnf.or.jp	2025-01-13T16:46:59.011+09:00	2025-01-11T09:57:16.000+09:00	o	x	上池袋	<a>2025/01</a>				
